,Title,Genre,Premiere,Runtime,IMDB Score,Language
382,Night in Paradise,Drama,2021-04-09,132,6.7,Korean
383,Paper Lives,Drama,2021-03-12,97,6.7,Turkish
384,Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish
385,Tallulah,Comedy-drama,2016-07-29,111,6.7,English
386,The Old Guard,Superhero/Action,2020-07-10,124,6.7,English
387,Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116,6.7,English
388,Upstarts,Drama,2019-10-18,112,6.7,Hindi
389,22 July,Drama,2018-10-10,144,6.8,English
390,7 a�os,Drama,2016-10-28,76,6.8,Spanish
391,A Futile and Stupid Gesture,Biographical/Comedy,2018-01-26,101,6.8,English
392,A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish
393,A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English
394,All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin
395,Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English
396,Becoming,Documentary,2020-05-06,89,6.8,English
397,Long Live Brij Mohan,Comedy,2018-08-03,105,6.8,Hindi
398,Calibre,Thriller,2018-06-29,101,6.8,English
399,Death to 2020,Comedy,2020-12-27,70,6.8,English
400,GIMS: On the Record,Documentary,2020-09-17,96,6.8,French
401,Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English
402,Heroin(e) ,Documentary,2017-09-12,39,6.8,English
403,Mercury 13,Documentary,2018-04-20,79,6.8,English
404,Saving Capitalism,Documentary,2017-11-21,73,6.8,English
405,Serious Men,Drama,2020-10-02,114,6.8,Hindi
406,The Boys in the Band,Drama,2020-09-30,121,6.8,English
407,The Boys in the Band: Something Personal,Aftershow / Interview,2020-09-30,28,6.8,English
408,The Life Ahead,Drama,2020-11-13,95,6.8,Italian
409,The Other Side of the Wind,Drama,2018-11-02,122,6.8,English
410,The Trader,Documentary,2018-02-09,23,6.8,Georgian
411,To the Bone,Drama,2017-07-14,107,6.8,English
412,Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French
413,AK vs AK,Thriller,2020-12-24,108,6.9,Hindi
